Ticker,Name,ISIN,URL,KGV_1,KUV_1,Datum_1,KGV_2,KUV_2,Datum_2
IXX,,,https://www.boerse.de/aktien/init-innovation/DE0005759807,,,,,,
INS,,,https://www.boerse.de/aktien/instone-real-estate-group/DE000A2NBX80,,,,,,
ISH2,,,https://www.boerse.de/aktien/intershop-communications/DE000A254211,,,,,,
IS7,,,https://www.boerse.de/aktien/intica-systems/DE0005874846,,,,,,
IOS,,,https://www.boerse.de/aktien/ionos-group-se-na/DE000A3E00M1,,,,,,
IVU,,,https://www.boerse.de/aktien/ivu-traffic-techn-ag/DE0007448508,,,,,,
JEN,,,https://www.boerse.de/aktien/jenoptik-ag-na/DE000A2NB601,,,,,,
JST,,,https://www.boerse.de/aktien/jost-werke-se/DE000JST4000,,,,,,
JUN3,,,https://www.boerse.de/aktien/jungheinrich-ag-o-n-vzo/DE0006219934,,,,,,
SDF,,,https://www.boerse.de/aktien/k-s-ag-na/DE000KSAG888,,,,,,
KGX,,,https://www.boerse.de/aktien/kion-group/DE000KGX8881,,,,,,
KCO,,,https://www.boerse.de/aktien/kloeckner-co-se-na/DE000KC01000,,,,,,
KTA,,,https://www.boerse.de/aktien/knaus-tabbert-ag-na/DE000A2YN504,,,,,,
KBX,,,https://www.boerse.de/aktien/knorr-bremse-ag/DE000KBX1006,,,,,,
SKB,,,https://www.boerse.de/aktien/koenig-bauer-ag-st/DE0007193500,,,,,,
KRN,,,https://www.boerse.de/aktien/krones-ag/DE0006335003,,,,,,
KSB,,,https://www.boerse.de/aktien/ksb-se-co-kgaa-st/DE0006292006,,,,,,
KSB3,,,https://www.boerse.de/aktien/ksb-se-co-kgaa-vzo/DE0006292030,,,,,,
KWS,,,https://www.boerse.de/aktien/kws-saat-kgaa/DE0007074007,,,,,,
LXS,,,https://www.boerse.de/aktien/lanxess/DE0005470405,,,,,,
LEG,,,https://www.boerse.de/aktien/leg-immobilien/DE000LEG1110,,,,,,
LEI,,,https://www.boerse.de/aktien/leifheit-ag/DE0006464506,,,,,,
LPK,,,https://www.boerse.de/aktien/lpkf-laser-electronics/DE0006450000,,,,,,
ECK,,,https://www.boerse.de/aktien/ludw-beck-a-rathauseck/DE0005199905,,,,,,
LHA,,,https://www.boerse.de/aktien/lufthansa-ag-vna/DE0008232125,,,,,,
MZX,,,https://www.boerse.de/aktien/masterflex/DE0005492938,,,,,,
MXHN,,,https://www.boerse.de/aktien/max-automation-se-na/DE000A2DA588,,,,,,
MBB,,,https://www.boerse.de/aktien/mbb-se/DE000A0ETBQ4,,,,,,
MED,,,https://www.boerse.de/aktien/mediclin/DE0006595101,,,,,,
ILM1,,,https://www.boerse.de/aktien/medios-ag/DE000A1MMCC8,,,,,,
MBG,,,https://www.boerse.de/aktien/mercedes-benz-group/DE0007100000,,,,,,
MRK,,,https://www.boerse.de/aktien/merck-kgaa/DE0006599905,,,,,,
MRX,,,https://www.boerse.de/aktien/mister-spex/DE000A3CSAE2,,,,,,
MLP,,,https://www.boerse.de/aktien/mlp-se/DE0006569908,,,,,,
MTX,,,https://www.boerse.de/aktien/mtu-aero-engines-na/DE000A0D9PT0,,,,,,
MUV2,,,https://www.boerse.de/aktien/muench-rueckversicherungs-gesellschaft-vna/DE0008430026,,,,,,
MUX,,,https://www.boerse.de/aktien/mutares-kgaa-na/DE000A2NB650,,,,,,
MVV1,,,https://www.boerse.de/aktien/mvv-energie-ag-na/DE000A0H52F5,,,,,,
